,f1_mean,f1_std,n_folds_defined,support_total
AU.12,0.026585665050414698,0.03300338703452838,15.0,12948.0
AU.10,0.14399842041225883,0.1553738253705518,15.0,16077.0
AU.23,0.1509928359292131,0.07881690324216112,15.0,21378.0
AU.07,0.16652366477399663,0.1286509240306365,15.0,43932.0
AU.06,0.197429767818448,0.10394796992323577,15.0,60387.0
AU.02,0.2685934795002874,0.1987493036558556,15.0,21819.0
AU.04,0.27237419963455445,0.13973284224623997,15.0,50256.0
AU.01,0.27274912201305174,0.19441846506285024,15.0,19242.0
AU.09,0.2762744331267657,0.16944196438495487,15.0,20691.0
AU.14,0.352284205091679,0.08532050990018088,15.0,102993.0
AU.41,0.43290223122712296,0.07906703656462409,15.0,111105.0
AU.45,0.575543226467856,0.03575381405747716,15.0,28965.0
